Cidade,Ano,Fonte Energia,Indústria Predominante,Clima,Consumo MWh,Custo Unitário USD,Emissoes CO2 Ton,Perc Energia Renovavel,Residencias Atendidas,Investimento Infra Bilhoes,Emissão CO2,População Cidade
Nova York,2015,Carvão,Financeiro,Temperado,12336,18,323266,"0,8546",898740,2863,301567,8128449
Los Angeles,2021,Hidrelétrica,Tecnologia,Frio,13313,5,495231,"0,4329",680078,2316,694095,4135329
São Paulo,2022,Nuclear,Mineração,Tropical,1941,1,65146,"0,0599",558632,904,54098,4630801
Rio de Janeiro,2023,Solar,Agronegócio,Tropical,7371,23,262996,"0,1472",226628,1218,182305,16925805
Berlim,2019,Eólica,Turismo,Tropical,32809,5,8124,"0,4783",10449,25,5684451,11643573
Munique,2019,Eólica,Tecnologia,Frio,38205,18,272963,"0,1624",665147,951,4402029,18987200
Mumbai,2020,Carvão,Mineração,Temperado,7343,1,416992,"0,2232",506958,576,608256,7225782
Nova Délhi,2020,Nuclear,Financeiro,Temperado,42479,24,237740,"0,0353",516122,365,5252996,6827902
Pequim,2018,Hidrelétrica,Agronegócio,Tropical,44400,9,243876,"0,1106",79325,2863,540832,17575134
Xangai,2023,Eólica,Tecnologia,Desértico,6673,7,132013,"0,6508",954195,3019,1150752,2014868
Tóquio,2023,Eólica,Agronegócio,Temperado,1435,23,453150,"0,7849",315826,2436,215737,9002935
Osaka,2021,Gás Natural,Mineração,Temperado,20207,23,29904,"0,1216",676795,2452,4288598,13400000
Londres,2016,Nuclear,Agronegócio,Desértico,14830,7,49070,"0,5056",444831,651,344907,7040241
Paris,2022,Gás Natural,Tecnologia,Desértico,11091,23,400617,"0,4602",485817,234,72647,14483202
Toronto,2017,Gás Natural,Manufatura,Desértico,10794,6,51258,"0,5445",281222,4372,119825,16319084
Vancouver,2022,Solar,Manufatura,Tropical,5781,8,306046,"0,3779",171637,4026,349956,13846931
Sydney,2022,Eólica,Financeiro,Mediterrâneo,16889,16,343889,"0,7677",397407,4555,2321612,11183457
Melbourne,2015,Nuclear,Financeiro,Tropical,37142,13,249112,"0,0199",160553,2604,6470677,15317532
Cidade do México,2022,Solar,Mineração,Tropical,48567,13,393231,"0,5647",217316,250,10890012,9672832
Moscou,2015,Carvão,Turismo,Tropical,13528,5,454941,"0,0501",649012,4601,1079262,12114816
Nova York,2023,Nuclear,Manufatura,Desértico,44693,16,178088,"0,1953",120427,1898,6095544,2045661
Los Angeles,2019,Nuclear,Agronegócio,Temperado,32821,7,384607,"0,5119",42533,2998,462399,13437037
São Paulo,2017,Hidrelétrica,Agronegócio,Mediterrâneo,37279,19,86399,"0,7893",922896,3973,2153104,18631260
Rio de Janeiro,2017,Carvão,Agronegócio,Tropical,8003,7,336562,"0,6707",972679,3857,435286,16929243
Berlim,2022,Solar,Agronegócio,Temperado,38186,7,174380,"0,2496",534635,1356,2238913,13848816
